id,time,voltage,wristX,wristY,distance,angle,velocity
,,517,0,0,0,180,0
,,517,0,0,0,180,0
,,517,0,0,0,180,0
,,517,0,0,0,180,0
,,517,0,0,0,180,0
,,517,0,0,0,180,0
,,517,0,0,0,180,0
,,517,0,0,0,180,0
,,517,0,0,0,180,0
,,517,0,0,0,180,0
,,517,0,0,0,180,0
,,524,2,-2,10,177,3.5
,,527,5,1,13,174,3.5
,,530,8,4,16,171,3.5
,,533,11,7,19,168,3.5
,,536,14,10,22,165,3.5
,,539,17,13,25,162,3.5
,,542,20,16,28,159,3.5
,,545,23,19,31,135,3.5
,,517,20,16,28,138,3.5
,,517,17,13,25,141,3.5
,,517,14,10,22,144,3.5
,,517,11,7,19,147,3.5
,,517,8,4,16,150,3.5
,,517,5,1,13,153,3.5
,,517,2,-2,10,156,3.5
,,517,0,0,0,180,0
,,517,0,0,0,180,0
,,517,0,0,0,180,0
,,517,0,0,0,180,0
